Player,Team,Nation,Pos,Age,MP,Starts_x,Min,Ast_x,G-PK,PKatt_x,CrdY,CrdR,xG_x,npxG_x,xAG_x,PrgC_x,PrgP_x,PrgR_x,Ast_x,G-PK,G+A-PK,xG_x,xAG_x,xG+xAG,npxG_x,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_y,PKA,PKsv,PKm,Save%,Gls,Sh_x,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG_y,npxG_y,npxG/Sh,G-xG,np:G-xG,Cmp_x,Att_x,Cmp%,TotDist_x,PrgDist_x,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Ast_y,xAG_y,xA,A-xAG,KP,1/3_x,PPA,CrsPA,PrgP_y,Live_x,Dead,FK_y,TB,Sw,Crs_x,TI,CK,In,Out,Str,Off_x,Blocks_x,SCA,SCA90,PassLive,PassDead,TO,Sh_y,Fld_x,Def,GCA,GCA90,PassLive,PassDead,TO,Sh_y,Fld_x,Def,Tkl,TklW,Def 3rd_x,Mid 3rd_x,Att 3rd_x,Tkl,Att_y,Tkl%,Lost_x,Blocks_y,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_y,Mid 3rd_y,Att 3rd_y,Att Pen,Live_y,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_y,PrgDist_y,PrgC_y,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,onxG,onxGA,Fls,Fld_y,Off_y,OG,Recov,Won,Lost_y,Won%
Aaron Cresswell,West Ham,eng ENG,"DF,FW",33,11,4,436,0,0,0,1,0,0.0,0.0,0.4,4,26,6,0.00,0.00,0.00,0.00,0.09,0.09,0.00,,,,,,,,,,,,,,,,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0,0.4,0.3,-0.4,5,15,4,0,26,245,63,9,0,4,11,50,4,1,3,0,0,3,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,326,18,125,141,61,1,326,1,0,0.0,1,100.0,169,522,220,4,5,0,0,2,210,6,77,2,7,18,21,1.00,6,11,6.6,5.6,2,3,1,0,18,6,3,66.7
Aaron Hickey,Brentford,sct SCO,DF,21,9,9,713,0,0,0,5,0,0.2,0.2,0.1,9,21,13,0.00,0.00,0.00,0.03,0.01,0.04,0.03,,,,,,,,,,,,,,,,0,7,1,14.3,0.88,0.13,0.00,0.00,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70.0,0,0.1,0.1,-0.1,1,10,2,0,21,254,23,3,1,3,5,20,0,0,0,0,0,7,7,0.88,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13,79,2,0,N/a,0,1.11,10,12,10.3,10.3,10,16,0,0,42,1,9,10.0
Aaron Ramsdale,Arsenal,eng ENG,GK,25,6,6,540,0,0,0,0,0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,N/a,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,131,188,69.7,3303,2420,38,38,100.0,61,62,98.4,32,86,37.2,0,0.0,0.0,0.0,0,4,0,0,2,153,35,16,0,0,0,0,0,0,0,0,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,0,0,0,0,0,3,2,197,140,186,11,0,0,197,0,0,N/a,0,N/a,137,697,399,0,0,0,1,0,104,0,90,6,0,N/a,31,2.67,11,5,11.1,5.8,0,1,0,0,6,0,0,N/a
Aaron Ramsey,Burnley,eng ENG,"MF,FW",20,14,5,527,0,0,0,1,0,0.3,0.3,0.4,8,8,17,0.00,0.00,0.00,0.06,0.07,0.13,0.06,,,,,,,,,,,,,,,,0,6,2,33.3,1.02,0.34,0.00,0.00,16.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90.0,0,0.4,0.5,-0.4,1,7,2,0,8,141,9,1,1,0,2,2,0,0,0,0,1,9,5,0.85,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,17,14,7,5,5,8,16,50.0,8,11,2,9,1,18,10,0,228,15,63,102,65,9,228,10,3,30.0,6,60.0,117,514,168,8,5,4,11,10,142,17,68,0,9,21,3,0.36,4,17,5.4,11.5,7,3,1,0,24,4,5,44.4
Aaron Wan-Bissaka,Manchester Utd,eng ENG,DF,25,22,20,"1,780",2,0,0,4,0,0.1,0.1,1.5,30,77,54,0.10,0.00,0.10,0.01,0.08,0.08,0.01,,,,,,,,,,,,,,,,0,3,1,33.3,0.15,0.05,0.00,0.00,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,823,986,83.5,10824,3539,536,599,89.5,243,285,85.3,19,38,50.0,2,1.5,1.4,+0.5,12,51,16,3,77,839,145,7,0,1,14,138,0,0,0,0,2,27,26,1.31,24,1,0,0,1,0,3,0.15,3,0,0,0,0,0,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,1225,85,424,538,278,24,1225,32,17,53.1,9,28.1,594,2909,1429,30,27,4,20,9,691,54,88,16,2,11,3,1.32,30,34,25.3,37.9,17,9,0,0,94,21,19,52.5
Abdoulaye Doucouré,Everton,ml MLI,"FW,MF",30,32,32,"2,629",1,7,0,7,0,8.8,8.8,2.9,55,97,140,0.03,0.24,0.27,0.30,0.10,0.40,0.30,,,,,,,,,,,,,,,,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,8.8,8.8,0.20,-1.8,-1.8,683,893,76.5,9807,2329,381,453,84.1,239,288,83.0,28,59,47.5,1,2.9,1.5,-1.9,34,43,18,1,97,876,16,0,1,1,26,0,0,0,0,0,1,29,67,2.29,59,0,0,6,1,1,5,0.17,3,0,0,2,0,0,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,1190,36,188,523,495,100,1190,48,25,52.1,21,43.8,635,3292,1692,55,37,17,61,42,800,140,82,17,0,N/a,0,1.44,33,36,40.3,41.8,53,8,21,0,144,24,40,37.5
Adam Lallana,Brighton,eng ENG,"MF,FW",35,25,13,850,1,0,0,2,0,0.8,0.8,1.7,9,39,55,0.11,0.00,0.11,0.09,0.18,0.27,0.09,,,,,,,,,,,,,,,,0,11,2,18.2,1.16,0.21,0.00,0.00,17.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,451,509,88.6,4936,1088,326,352,92.6,78,90,86.7,7,8,87.5,1,1.7,2.0,-0.7,15,21,16,1,39,491,15,5,3,0,7,0,4,0,0,0,3,9,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0,574,5,80,268,229,44,574,13,3,23.1,9,69.2,354,1310,483,9,12,4,14,18,491,55,53,0,12,13,8,1.24,12,13,10.9,11.7,8,11,2,0,22,3,5,37.5
Adam Smith,Bournemouth,eng ENG,DF,32,28,25,"2,150",2,0,0,6,0,0.1,0.1,1.3,24,89,28,0.08,0.00,0.08,0.00,0.05,0.06,0.00,,,,,,,,,,,,,,,,0,2,0,0.0,0.08,0.00,0.00,N/a,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,782,1025,76.3,12722,5225,397,443,89.6,325,401,81.0,51,141,36.2,2,1.3,1.7,+0.7,17,58,23,17,89,793,229,14,3,1,39,215,0,0,0,0,3,26,31,1.30,26,4,0,0,1,0,5,0.21,5,0,0,0,0,0,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0,1229,92,404,537,295,11,1229,15,4,26.7,8,53.3,521,2455,1022,24,22,3,14,7,580,28,85,15,3,12,6,1.61,39,33,37.6,31.6,30,22,1,0,92,18,22,45.0
Adam Webster,Brighton,eng ENG,DF,28,15,13,"1,144",0,0,0,2,0,0.4,0.4,0.1,16,80,2,0.00,0.00,0.00,0.03,0.01,0.05,0.03,,,,,,,,,,,,,,,,0,8,0,0.0,0.63,0.00,0.00,N/a,9.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,997,1096,91.0,16938,5838,428,462,92.6,495,529,93.6,56,79,70.9,0,0.1,0.3,-0.1,5,92,4,0,80,1063,31,23,1,4,1,7,0,0,0,0,2,2,14,1.10,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,14,12,8,5,1,6,18,33.3,12,16,12,4,16,30,43,1,1201,106,495,625,86,14,1201,2,0,0.0,2,100.0,814,4073,2357,16,16,0,5,2,903,2,85,11,2,18,12,1.13,16,22,21.9,17.5,9,3,0,1,63,33,13,71.7
Adam Wharton,Crystal Palace,eng ENG,MF,19,16,15,"1,297",3,0,0,2,0,0.3,0.3,2.4,14,79,10,0.21,0.00,0.21,0.02,0.17,0.19,0.02,,,,,,,,,,,,,,,,0,10,1,10.0,0.69,0.07,0.00,0.00,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,464,596,77.9,8091,2486,209,244,85.7,199,234,85.0,45,80,56.3,3,2.4,1.5,+0.6,21,51,16,3,79,553,34,13,3,2,25,0,15,7,4,0,9,11,37,2.57,30,7,0,0,0,0,5,0.35,5,0,0,0,0,0,48,32,18,22,8,23,46,50.0,23,17,3,14,20,68,24,1,742,29,143,426,183,4,742,7,3,42.9,2,28.6,346,1441,723,14,23,0,12,12,449,10,82,6,1,63,0,1.56,27,16,19.9,17.6,18,21,0,0,76,7,12,36.8
